고객ID,feature
200001351,"[0.21983447218149602, 0.22723964588862774, 0.40250382825788805, 0.010101573728934917, 0.0, 0.0, 0.0, 0.14032047994305322]"
200004132,"[0.0, 0.6288165131188993, 0.0, 0.1629758591902177, 0.07972059322793366, 0.0, 0.03240224917493216, 0.09608478528801713]"
200004601,"[0.0, 0.0, 0.0, 0.10004240573134313, 0.5485713793756057, 0.0, 0.0, 0.3513862148930512]"
200005514,"[0.0, 0.6242408209490847, 0.0, 0.07335127908199679, 0.0, 0.0, 0.0, 0.30240789996891854]"
200006021,"[0.04807437933778104, 0.07698601745367026, 0.5533917052058093, 0.14199749892471136, 0.1518575254672037, 0.0, 0.0, 0.027692873610824353]"
200007203,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200007404,"[0.0, 0.0, 0.0, 0.17228120727252727, 0.0, 0.0, 0.8277187927274727, 0.0]"
200009319,"[0.09363204720031261, 0.38098155223796726, 0.0, 0.06694089246785673, 0.23459789911751602, 0.0, 0.032753597750891, 0.1910940112254564]"
200011167,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200011228,"[0.0, 0.35553394043554776, 0.0, 0.10561726544564491, 0.2740929408269269, 0.0, 0.1294847528504587, 0.13527110044142154]"
200011229,"[0.6199683890075057, 0.0, 0.0, 0.04409591437665691, 0.13838492939393707, 0.0, 0.13242547900349141, 0.0651252882184089]"
200012240,"[0.0, 0.0, 0.0, 0.1075848709357077, 0.0, 0.0, 0.8924151290642922, 0.0]"
200013153,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
200014158,"[0.0, 0.5852774276100778, 0.0, 0.012942658881642815, 0.1942759836182479, 0.0, 0.15416168380963935, 0.05334224608039192]"
200014247,"[0.0, 0.0, 0.0, 0.6485815330452293, 0.0, 0.0, 0.0, 0.35141846695477075]"
200014513,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200014688,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200016972,"[0.0, 0.0, 0.0, 0.373927525811665, 0.26289349962070524, 0.0, 0.11726762213062983, 0.24591135243699982]"
200018017,"[0.0, 0.0, 0.0, 0.3919370884917754, 0.0, 0.0, 0.0, 0.6080629115082247]"
200020004,"[0.0, 0.5047426962482932, 0.0, 0.2966011964478746, 0.06447448804152228, 0.0, 0.0, 0.13418161926231]"
200020344,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
200020663,"[0.18191036058876722, 0.15500425486785233, 0.2708772247555813, 0.04864833444096143, 0.07333545764209805, 0.0, 0.07160179708660264, 0.19862257061813704]"
200021295,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200022239,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200023175,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
200025511,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
200027139,"[0.23690412341122966, 0.0, 0.0, 0.46577955847577174, 0.0, 0.0, 0.17097836251921508, 0.12633795559378366]"
200027910,"[0.0, 0.0, 0.0, 0.11549983851226711, 0.17940035575406088, 0.1847894366614902, 0.3150098731778814, 0.2053004958943005]"
200028087,"[0.0, 0.0, 0.0, 0.11274484784760767, 0.22261825436375637, 0.0, 0.5203187684236976, 0.1443181293649383]"
200029336,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7603642662608739, 0.23963573373912603]"
200029913,"[0.0, 0.0, 0.0, 0.08672261054367353, 0.0, 0.0, 0.9132773894563265, 0.0]"
200030370,"[0.0, 0.0, 0.0, 0.5254738077837487, 0.0, 0.0, 0.0, 0.47452619221625114]"
200033471,"[0.1111488859517934, 0.6783843197752968, 0.0, 0.0, 0.08716483954166646, 0.0, 0.0, 0.12330195473124345]"
200033605,"[0.0, 0.0, 0.6889599261849836, 0.08698608966200919, 0.0, 0.0, 0.0, 0.22405398415300729]"
200035359,"[0.0, 0.0, 0.0, 0.15700882812537686, 0.2981586476636949, 0.0, 0.0, 0.5448325242109283]"
200037444,"[0.0, 0.0, 0.0, 0.08894783057472003, 0.0, 0.0, 0.7378211175227769, 0.1732310519025031]"
200040602,"[0.4937011283272078, 0.0, 0.0, 0.11913008213724208, 0.38716878953555, 0.0, 0.0, 0.0]"
200040818,"[0.0, 0.322259448395457, 0.0, 0.30064044419875885, 0.0, 0.0, 0.0, 0.37710010740578415]"
200041190,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
200042277,"[0.0, 0.33698115080544255, 0.0, 0.10653548041377696, 0.0, 0.0, 0.38222794759119283, 0.17425542118958762]"
200042573,"[0.10490783444983531, 0.18597115151424154, 0.0, 0.14795911490777278, 0.15444248316912776, 0.2819272442390199, 0.06270869798670871, 0.06208347373329399]"
200042599,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200044656,"[0.0, 0.0, 0.0, 0.06435054338081365, 0.0, 0.0, 0.9356494566191863, 0.0]"
200045333,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
200047504,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
200050370,"[0.04748457638230259, 0.36739174150283294, 0.12559985356826636, 0.06240094499593431, 0.11831085209535316, 0.09034962299385882, 0.06991754872480817, 0.11854485973664368]"
200050505,"[0.0, 0.0, 0.0, 0.12642161782690323, 0.20247466237452844, 0.0, 0.3582389284582765, 0.3128647913402918]"
200051444,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
